country_or_dependency,population_2020,yearly_change,net_change,density_p/km²,land_area_km²,migrants_net,fert_rate,med_age,urban_pop_%,world_share,total_population,percentage,percentage_formatted,urban_pop,rural_pop
SINGAPORE,5858322,0.79 %,46005,8358,700,27028.0,1.2,42,0,0.08 %,7808449406,0.08,0.08%,0.00,0
DENMARK,5795780,0.35 %,20326,137,42430,15200.0,1.8,42,88 %,0.07 %,7808449406,0.07,0.07%,"5,100,286.40","695,493.60"
FINLAND,5542237,0.15 %,8564,18,303890,14000.0,1.5,43,86 %,0.07 %,7808449406,0.07,0.07%,"4,766,323.82","775,913.18"
CONGO,5540555,2.56 %,137579,16,341500,-4000.0,4.5,19,70 %,0.07 %,7808449406,0.07,0.07%,"3,878,388.50","1,662,166.50"
SLOVAKIA,5460109,0.05 %,2629,114,48088,1485.0,1.5,41,54 %,0.07 %,7808449406,0.07,0.07%,"2,948,458.86","2,511,650.14"
NORWAY,5428594,0.79 %,42384,15,365268,28000.0,1.7,40,83 %,0.07 %,7808449406,0.07,0.07%,"4,505,733.02","922,860.98"
OMAN,5128058,2.65 %,131640,16,309500,87400.0,2.9,31,87 %,0.07 %,7808449406,0.07,0.07%,"4,461,410.46","666,647.54"
STATE OF PALESTINE,5121112,2.41 %,119994,847,6020,-10563.0,3.7,21,80 %,0.07 %,7808449406,0.07,0.07%,"4,096,889.60","1,024,222.40"
COSTA RICA,5102158,0.92 %,46557,100,51060,4200.0,1.8,33,80 %,0.07 %,7808449406,0.07,0.07%,"4,081,726.40","1,020,431.60"
LIBERIA,5077411,2.44 %,120307,53,96320,-5000.0,4.4,19,53 %,0.06 %,7808449406,0.07,0.07%,"2,691,027.83","2,386,383.17"
IRELAND,4947267,1.13 %,55291,72,68890,23604.0,1.8,38,63 %,0.06 %,7808449406,0.06,0.06%,"3,116,778.21","1,830,488.79"
CENTRAL AFRICAN REPUBLIC,4843954,1.78 %,84582,8,622980,-40000.0,4.8,18,43 %,0.06 %,7808449406,0.06,0.06%,"2,082,900.22","2,761,053.78"
NEW ZEALAND,4829021,0.82 %,39170,18,263310,14881.0,1.9,38,87 %,0.06 %,7808449406,0.06,0.06%,"4,201,248.27","627,772.73"
MAURITANIA,4669775,2.74 %,123962,5,1030700,5000.0,4.6,20,57 %,0.06 %,7808449406,0.06,0.06%,"2,661,771.75","2,008,003.25"
PANAMA,4326296,1.61 %,68328,58,74340,11200.0,2.5,30,68 %,0.06 %,7808449406,0.06,0.06%,"2,941,881.28","1,384,414.72"
KUWAIT,4281320,1.51 %,63488,240,17820,39520.0,2.1,37,0,0.05 %,7808449406,0.05,0.05%,0.00,0
CROATIA,4100719,-0.61 %,-25037,73,55960,-8001.0,1.4,44,58 %,0.05 %,7808449406,0.05,0.05%,"2,378,417.02","1,722,301.98"
MOLDOVA,4032294,-0.23 %,-9300,123,32850,-1387.0,1.3,38,43 %,0.05 %,7808449406,0.05,0.05%,"1,733,886.42","2,298,407.58"
GEORGIA,3987805,-0.19 %,-7598,57,69490,-10000.0,2.1,38,58 %,0.05 %,7808449406,0.05,0.05%,"2,312,926.90","1,674,878.10"
ERITREA,3554797,1.41 %,49304,35,101000,-39858.0,4.1,19,63 %,0.05 %,7808449406,0.05,0.05%,"2,239,522.11","1,315,274.89"
URUGUAY,3475842,0.35 %,11996,20,175020,-3000.0,2.0,36,96 %,0.04 %,7808449406,0.04,0.04%,"3,336,808.32","139,033.68"
BOSNIA AND HERZEGOVINA,3277152,-0.61 %,-20181,64,51000,-21585.0,1.3,43,52 %,0.04 %,7808449406,0.04,0.04%,"1,704,119.04","1,573,032.96"
MONGOLIA,3287242,1.65 %,53123,2,1553560,-852.0,2.9,28,67 %,0.04 %,7808449406,0.04,0.04%,"2,202,452.14","1,084,789.86"
ARMENIA,2964219,0.19 %,5512,104,28470,-4998.0,1.8,35,63 %,0.04 %,7808449406,0.04,0.04%,"1,867,457.97","1,096,761.03"
JAMAICA,2963429,0.44 %,12888,273,10830,-11332.0,2.0,31,55 %,0.04 %,7808449406,0.04,0.04%,"1,629,885.95","1,333,543.05"
QATAR,2889284,1.73 %,48986,248,11610,40000.0,1.9,32,96 %,0.04 %,7808449406,0.04,0.04%,"2,773,712.64","115,571.36"
ALBANIA,2877239,-0.11 %,-3120,105,27400,-14000.0,1.6,36,63 %,0.04 %,7808449406,0.04,0.04%,"1,812,660.57","1,064,578.43"
PUERTO RICO,2846860,-2.47 %,-72555,323,8870,-97986.0,1.2,44,0,0.04 %,7808449406,0.04,0.04%,0.00,0
LITHUANIA,2715340,-1.35 %,-37338,43,62674,-32780.0,1.7,45,71 %,0.03 %,7808449406,0.03,0.03%,"1,927,891.40","787,448.60"
NAMIBIA,2548663,1.86 %,46375,3,823290,-4806.0,3.4,22,55 %,0.03 %,7808449406,0.03,0.03%,"1,401,764.65","1,146,898.35"
GAMBIA,2427782,2.94 %,68962,239,10120,-3087.0,5.3,18,59 %,0.03 %,7808449406,0.03,0.03%,"1,432,391.38","995,390.62"
BOTSWANA,2359585,2.08 %,47930,4,566730,3000.0,2.9,24,73 %,0.03 %,7808449406,0.03,0.03%,"1,722,497.05","637,087.95"
GABON,2234448,2.45 %,53155,9,257670,3260.0,4.0,23,87 %,0.03 %,7808449406,0.03,0.03%,"1,943,969.76","290,478.24"
LESOTHO,2145194,0.80 %,16981,71,30360,-10047.0,3.2,24,31 %,0.03 %,7808449406,0.03,0.03%,"665,010.14","1,480,183.86"
NORTH MACEDONIA,2083359,0.00 %,-85,83,25220,-1000.0,1.5,39,59 %,0.03 %,7808449406,0.03,0.03%,"1,229,181.81","854,177.19"
SLOVENIA,2078989,0.01 %,284,103,20140,2000.0,1.6,45,55 %,0.03 %,7808449406,0.03,0.03%,"1,143,443.95","935,545.05"
GUINEA-BISSAU,1975718,2.45 %,47079,70,28120,-1399.0,4.5,19,45 %,0.03 %,7808449406,0.03,0.03%,"889,073.10","1,086,644.90"
LATVIA,1882408,-1.08 %,-20545,30,62200,-14837.0,1.7,44,69 %,0.02 %,7808449406,0.02,0.02%,"1,298,861.52","583,546.48"
BAHRAIN,1711057,3.68 %,60403,2239,760,47800.0,2.0,32,89 %,0.02 %,7808449406,0.02,0.02%,"1,522,840.73","188,216.27"
EQUATORIAL GUINEA,1410419,3.47 %,46999,50,28050,16000.0,4.6,22,73 %,0.02 %,7808449406,0.02,0.02%,"1,029,605.87","380,813.13"
TRINIDAD AND TOBAGO,1400283,0.32 %,4515,273,5130,-800.0,1.7,36,52 %,0.02 %,7808449406,0.02,0.02%,"728,147.16","672,135.84"
ESTONIA,1326693,0.07 %,887,31,42390,3911.0,1.6,42,68 %,0.02 %,7808449406,0.02,0.02%,"902,151.24","424,541.76"
TIMOR-LESTE,1322667,1.96 %,25326,89,14870,-5385.0,4.1,21,33 %,0.02 %,7808449406,0.02,0.02%,"436,480.11","886,186.89"
MAURITIUS,1272140,0.17 %,2100,626,2030,0.0,1.4,37,41 %,0.02 %,7808449406,0.02,0.02%,"521,577.40","750,562.60"
CYPRUS,1208886,0.73 %,8784,131,9240,5000.0,1.3,37,67 %,0.02 %,7808449406,0.02,0.02%,"809,953.62","398,932.38"
ESWATINI,1162233,1.05 %,12034,67,17200,-8353.0,3.0,21,30 %,0.01 %,7808449406,0.01,0.01%,"348,669.90","813,563.10"
DJIBOUTI,990447,1.48 %,14440,43,23180,900.0,2.8,27,79 %,0.01 %,7808449406,0.01,0.01%,"782,453.13","207,993.87"
FIJI,897573,0.73 %,6492,49,18270,-6202.0,2.8,28,59 %,0.01 %,7808449406,0.01,0.01%,"529,568.07","368,004.93"
RÉUNION,896422,0.72 %,6385,358,2500,-1256.0,2.3,36,100 %,0.01 %,7808449406,0.01,0.01%,"896,422.00",0.00
COMOROS,872695,2.20 %,18715,467,1861,-2000.0,4.2,20,29 %,0.01 %,7808449406,0.01,0.01%,"253,081.55","619,613.45"
GUYANA,787215,0.48 %,3786,4,196850,-6000.0,2.5,27,27 %,0.01 %,7808449406,0.01,0.01%,"212,548.05","574,666.95"
BHUTAN,773069,1.12 %,8516,20,38117,320.0,2.0,28,46 %,0.01 %,7808449406,0.01,0.01%,"355,611.74","417,457.26"
SOLOMON ISLANDS,689671,2.55 %,17061,25,27990,-1600.0,4.4,20,23 %,0.01 %,7808449406,0.01,0.01%,"158,624.33","531,046.67"
MACAO,650846,1.39 %,8890,21645,30,5000.0,1.2,39,0,0.01 %,7808449406,0.01,0.01%,0.00,0
MONTENEGRO,628080,0.01 %,79,47,13450,-480.0,1.8,39,68 %,0.01 %,7808449406,0.01,0.01%,"427,094.40","200,985.60"
LUXEMBOURG,627704,1.66 %,10249,242,2590,9741.0,1.5,40,88 %,0.01 %,7808449406,0.01,0.01%,"552,379.52","75,324.48"
WESTERN SAHARA,599769,2.55 %,14876,2,266000,5582.0,2.4,28,87 %,0.01 %,7808449406,0.01,0.01%,"521,799.03","77,969.97"
SURINAME,587541,0.90 %,5260,4,156000,-1000.0,2.4,29,65 %,0.01 %,7808449406,0.01,0.01%,"381,901.65","205,639.35"
CABO VERDE,557026,1.10 %,6052,138,4030,-1342.0,2.3,28,68 %,0.01 %,7808449406,0.01,0.01%,"378,777.68","178,248.32"
MALDIVES,542151,1.81 %,9591,1802,300,11370.0,1.9,30,35 %,0.01 %,7808449406,0.01,0.01%,"189,752.85","352,398.15"
MALTA,441750,0.27 %,1171,1380,320,900.0,1.5,43,93 %,0.01 %,7808449406,0.01,0.01%,"410,827.50","30,922.50"
BRUNEI,438202,0.97 %,4194,83,5270,0.0,1.8,32,80 %,0.01 %,7808449406,0.01,0.01%,"350,561.60","87,640.40"
GUADELOUPE,400136,0.02 %,68,237,1690,-1440.0,2.2,44,0,0.01 %,7808449406,0.01,0.01%,0.00,0
BELIZE,398845,1.86 %,7275,17,22810,1200.0,2.3,25,46 %,0.01 %,7808449406,0.01,0.01%,"183,468.70","215,376.30"
BAHAMAS,393893,0.97 %,3762,39,10010,1000.0,1.8,32,86 %,0.01 %,7808449406,0.01,0.01%,"338,747.98","55,145.02"
MARTINIQUE,375213,-0.08 %,-289,354,1060,-960.0,1.9,47,92 %,0.00 %,7808449406,0.0,0.0%,"345,195.96","30,017.04"
ICELAND,341628,0.65 %,2212,3,100250,380.0,1.8,37,94 %,0.00 %,7808449406,0.0,0.0%,"321,130.32","20,497.68"
